movie_title,actor_count,actors_list
Das Boot,12,"Jürgen_Prochnow, Herbert_Grönemeyer, Martin_Semmelrogge, Bernd_Tauber, Erwin_Leder, Heinz_Hoenig, Uwe_Ochsenknecht, Claude-Oliver_Rudolph, Jan_Fedder, Ralf_Richter, Joachim_Bernhard, Oliver_Stritzel"
Dead Poets Society,14,"Robin_Williams, Robert_Sean_Leonard, Ethan_Hawke, Josh_Charles, Gale_Hansen, Dylan_Kussman, Allelon_Ruggiero, James_Waterston, Norman_Lloyd, Kurtwood_Smith, Leon_Pownall, George_Martin, Kevin_Cooney, Lara_Flynn_Boyle"
Demon Slayer Kimetsu no Yaiba - The Movie Mugen Train,13,"Natsuki_Hanae, Hiro_Shimono, Satoshi_Hino, Takahiro_Sakurai, Katsuyuki_Konishi, Saori_Hayami, Ken'ichi_Suzumura, Tomokazu_Seki, Tomokazu_Sugita, Toshiyuki_Morikawa, Shin'ichirô_Miki, Houko_Kuwashima, Kaede_Hondo"
Demon Slayer Kimetsu no Yaiba- The Movie - Infinity Castle,13,"Zach_Aguilar, Ryan_Bartley, Johnny_Yong_Bosch, Kira_Buckland, Griffin_Burns, Christine_Marie_Cabanos, Nobutoshi_Canna, Clifford_Chapin, Ray_Chase, Shigeru_Chiba, Greg_Chun, Amber_Lee_Connors, Jessica_DiCicco"
Dial M for Murder,10,"Ray_Milland, Grace_Kelly, Robert_Cummings, John_Williams, Anthony_Dawson, Patrick_Allen, Robin_Hughes, Guy_Doleman, Bess_Flowers, Herschel_Graham"
Die Hard,15,"Bruce_Willis, Alan_Rickman, Bonnie_Bedelia, Reginald_VelJohnson, Paul_Gleason, De'voreaux_White, William_Atherton, Hart_Bochner, James_Shigeta, Alexander_Godunov, Andreas_Wisniewski, Clarence_Gilyard_Jr., Joseph_Plewa, Lorenzo_Caccialanza, Al_Leong"
Django Unchained,16,"Jamie_Foxx, Christoph_Waltz, Leonardo_DiCaprio, Kerry_Washington, Samuel_L._Jackson, Walton_Goggins, Dennis_Christopher, James_Remar, David_Steen, Dana_Gourrier, Nichole_Galicia, Laura_Cayouette, Ato_Essandoh, Sammi_Rotibi, Escalante_Lundy, Don_Johnson"
Double Indemnity,14,"Fred_MacMurray, Barbara_Stanwyck, Edward_G._Robinson, Porter_Hall, Jean_Heather, Tom_Powers, Byron_Barr, Richard_Gaines, Fortunio_Bonanova, Raymond_Chandler, Edmund_Cobb, Kernan_Cripps, Betty_Farrington, Bess_Flowers"
Downfall,17,"Bruno_Ganz, Alexandra_Maria_Lara, Ulrich_Matthes, Corinna_Harfouch, Juliane_Köhler, Heino_Ferch, Christian_Berkel, Matthias_Habich, Thomas_Kretschmann, Michael_Mendl, André_Hennicke, Ulrich_Noethen, Birgit_Minichmayr, Rolf_Kanies, Justus_von_Dohnányi, Christian_Redl, Götz_Otto"
Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb,15,"Peter_Sellers, George_C._Scott, Sterling_Hayden, Keenan_Wynn, Slim_Pickens, Peter_Bull, James_Earl_Jones, Tracy_Reed, Jack_Creley, Robert_O'Neil, Glenn_Beck, Shane_Rimmer, Hal_Galili, Laurence_Herder, Gordon_Tanner"
Drishyam,12,"Ajay_Devgn, Shriya_Saran, Tabu, Rajat_Kapoor, Ishita_Dutta, Mrunal_Jadhav, Kamlesh_Sawant, Yogesh_Soman, Prathamesh_Parab, Sharad_Bhutadiya, Ashish_Warang, Anil_Nagarkar"
