movie_title,actor_count,actors_list
"The Good, the Bad and the Ugly",11,"Clint_Eastwood, Eli_Wallach, Lee_Van_Cleef, Aldo_Giuffrè, Luigi_Pistilli, Rada_Rassimov, John_Bartha, Antonio_Casale, Sandro_Scarchilli, Benito_Stefanelli, Aldo_Sambrell"
The Grand Budapest Hotel,18,"Ralph_Fiennes, F._Murray_Abraham, Mathieu_Amalric, Adrien_Brody, Willem_Dafoe, Jeff_Goldblum, Harvey_Keitel, Jude_Law, Bill_Murray, Edward_Norton, Saoirse_Ronan, Jason_Schwartzman, Léa_Seydoux, Tilda_Swinton, Tom_Wilkinson, Owen_Wilson, Tony_Revolori, Larry_Pine"
The Grapes of Wrath,17,"Henry_Fonda, Jane_Darwell, John_Carradine, Charley_Grapewin, Dorris_Bowdon, Russell_Simpson, O.Z._Whitehead, John_Qualen, Eddie_Quillan, Zeffie_Tilbury, Frank_Sully, Frank_Darien, Darryl_Hickman, Shirley_Mills, Roger_Imhof, Grant_Mitchell, John_Arledge"
The Great Dictator,16,"Charles_Chaplin, Paulette_Goddard, Jack_Oakie, Reginald_Gardiner, Henry_Daniell, Billy_Gilbert, Grace_Hayle, Carter_DeHaven, Maurice_Moscovitch, Emma_Dunn, Bernard_Gorcey, Paul_Weigel, Chester_Conklin, Hank_Mann, Eddie_Gribbon, Rudolph_Anders"
The Great Escape,17,"Steve_McQueen, James_Garner, Richard_Attenborough, James_Donald, Charles_Bronson, Donald_Pleasence, James_Coburn, Hannes_Messemer, David_McCallum, Gordon_Jackson, John_Leyton, Angus_Lennie, Nigel_Stock, Robert_Graf, Jud_Taylor, Hans_Reiser, William_Russell"
The Green Mile,17,"Tom_Hanks, Michael_Clarke_Duncan, David_Morse, Bonnie_Hunt, James_Cromwell, Michael_Jeter, Graham_Greene, Doug_Hutchison, Sam_Rockwell, Barry_Pepper, Jeffrey_DeMunn, Patricia_Clarkson, Harry_Dean_Stanton, Dabbs_Greer, Eve_Brent, William_Sadler, Mack_Miles"
The Handmaiden,7,"Kim_Min-hee, Ha_Jung-woo, Cho_Jin-woong, Kim_Tae-ri, Lee_Yong-nyeo, Lee_Dong-hwi, Kim_Hae-sook"
The Hunt,10,"Mads_Mikkelsen, Thomas_Bo_Larsen, Annika_Wedderkopp, Susse_Wold, Lars_Ranthe, Alexandra_Rapaport, Sebastian_Bull, Jytte_Kvinesdal, Bjarne_Henriksen, Nicolai_Dahl_Hamilton"
The Incredibles,15,"Craig_T._Nelson, Samuel_L._Jackson, Holly_Hunter, Jason_Lee, Dominique_Louis, Theodore_Newton, Jean_Sincere, Eli_Fucile, Wallace_Shawn, Spencer_Fox, Lou_Romano, Sarah_Vowell, Elizabeth_Peña, Bud_Luckey, Brad_Bird"
The Intouchables,7,"François_Cluzet, Omar_Sy, Anne_Le_Ny, Audrey_Fleurot, Alba_Gaïa_Bellugi, Grégoire_Oestermann, Thomas_Solivérès"
The Iron Giant,15,"Eli_Marienthal, Harry_Connick_Jr., Jennifer_Aniston, Vin_Diesel, James_Gammon, Cloris_Leachman, Christopher_McDonald, John_Mahoney, M._Emmet_Walsh, Jack_Angel, Bob_Bergen, Mary_Kay_Bergman, Rodger_Bumpass, Robert_Clotworthy, Jennifer_Darling"
The Kid,10,"Charles_Chaplin, Edna_Purviance, Jackie_Coogan, Carl_Miller, Albert_Austin, Beulah_Bains, Henry_Bergman, Edward_Biby, B.F._Blinn, Frank_Campeau"
The Lion King,15,"Matthew_Broderick, Jeremy_Irons, James_Earl_Jones, Rowan_Atkinson, Jim_Cummings, Whoopi_Goldberg, Robert_Guillaume, Moira_Kelly, Nathan_Lane, Cheech_Marin, Ernie_Sabella, Madge_Sinclair, Jonathan_Taylor_Thomas, Frank_Welker, Cathy_Cavadini"
The Lives of Others,14,"Ulrich_Mühe, Martina_Gedeck, Sebastian_Koch, Ulrich_Tukur, Volkmar_Kleinert, Matthias_Brenner, Charly_Hübner, Herbert_Knaup, Marie_Gruber, Volker_Zack, Werner_Daehn, Martin_Brambach, Thomas_Arnold, Hinnerk_Schönemann"
The Lord of the Rings The Fellowship of the Ring,14,"Elijah_Wood, Ian_McKellen, Orlando_Bloom, Alan_Howard, Sean_Astin, Sala_Baker, Sean_Bean, Billy_Boyd, Andy_Serkis, Marton_Csokas, Viggo_Mortensen, Cate_Blanchett, Mark_Ferguson, Ian_Holm"
The Lord of the Rings The Return of the King,15,"Elijah_Wood, Viggo_Mortensen, Ian_McKellen, Ali_Astin, Sean_Astin, David_Aston, John_Bach, Sean_Bean, Cate_Blanchett, Orlando_Bloom, Billy_Boyd, Alistair_Browning, Marton_Csokas, Jason_Fitch, Bernard_Hill"
The Lord of the Rings The Two Towers,17,"Elijah_Wood, Ian_McKellen, Viggo_Mortensen, Bruce_Allpress, Sean_Astin, John_Bach, Sala_Baker, Cate_Blanchett, Orlando_Bloom, Billy_Boyd, Jed_Brophy, Brad_Dourif, Calum_Gittins, Bernard_Hill, Bruce_Hopkins, Paris_Howe_Strewe, Christopher_Lee"
The Matrix,17,"Keanu_Reeves, Laurence_Fishburne, Carrie-Anne_Moss, Hugo_Weaving, Gloria_Foster, Joe_Pantoliano, Marcus_Chong, Julian_Arahanga, Matt_Doran, Belinda_McClory, Anthony_Ray_Parker, Paul_Goddard, Robert_Taylor, David_Aston, Marc_Aden_Gray, Ada_Nicodemou, Rowan_Witt"
The Passion of Joan of Arc,10,"Maria_Falconetti, Eugene_Silvain, André_Berley, Maurice_Schutz, Antonin_Artaud, Michel_Simon, Armand_Lurville, Alexandre_Mihalesco, Camille_Bardou, Gilbert_Dalleu"
The Pianist,14,"Adrien_Brody, Thomas_Kretschmann, Frank_Finlay, Emilia_Fox, Michal_Zebrowski, Ed_Stoppard, Maureen_Lipman, Jessica_Kate_Meyer, Julia_Rayner, Wanja_Mues, Richard_Ridings, Anthony_Milner, Thomas_Lawinky, Joachim_Paul_Assböck"
The Prestige,17,"Christian_Bale, Hugh_Jackman, Scarlett_Johansson, Michael_Caine, Piper_Perabo, Rebecca_Hall, Samantha_Mahurin, David_Bowie, Andy_Serkis, Daniel_Davis, Jim_Piddock, Christopher_Neame, Mark_Ryan, Roger_Rees, Jamie_Harris, Ron_Perkins, Ricky_Jay"
The Secret in Their Eyes,8,"Ricardo_Darín, Soledad_Villamil, Pablo_Rago, Carla_Quevedo, Javier_Godino, Mario_Alarcón, Guillermo_Francella, Mariano_Argento"
The Seventh Seal,15,"Max_von_Sydow, Gunnar_Björnstrand, Bengt_Ekerot, Nils_Poppe, Bibi_Andersson, Inga_Gill, Maud_Hansson, Inga_Landgré, Gunnel_Lindblom, Bertil_Anderberg, Anders_Ek, Åke_Fridell, Gunnar_Olsson, Erik_Strandmark, Benkt-Åke_Benktsson"
The Shawshank Redemption,16,"Tim_Robbins, Morgan_Freeman, Bob_Gunton, William_Sadler, Clancy_Brown, Gil_Bellows, Mark_Rolston, James_Whitmore, Jeffrey_DeMunn, Larry_Brandenburg, Neil_Giuntoli, Brian_Libby, David_Proval, Joseph_Ragno, Jude_Ciccolella, Paul_McCrane"
The Shining,13,"Jack_Nicholson, Shelley_Duvall, Danny_Lloyd, Scatman_Crothers, Barry_Nelson, Philip_Stone, Joe_Turkel, Anne_Jackson, Tony_Burton, Lia_Beldam, Barry_Dennen, David_Baxt, Manning_Redwood"
The Silence of the Lambs,15,"Anthony_Hopkins, Scott_Glenn, Ted_Levine, Anthony_Heald, Brooke_Smith, Diane_Baker, Kasi_Lemmons, Charles_Napier, Tracey_Walter, Roger_Corman, Ron_Vawter, Frankie_Faison, Paul_Lazar, Dan_Butler, Chris_Isaak"
The Sixth Sense,16,"Bruce_Willis, Haley_Joel_Osment, Toni_Collette, Olivia_Williams, Trevor_Morgan, Donnie_Wahlberg, Peter_Anthony_Tambakis, Jeffrey_Zubernis, Bruce_Norris, Glenn_Fitzgerald, Greg_Wood, Mischa_Barton, Angelica_Page, Firdous_Bamji, Samia_Shoaib, Janis_Dardaris"
The Sound of Music,17,"Julie_Andrews, Christopher_Plummer, Eleanor_Parker, Richard_Haydn, Peggy_Wood, Charmian_Carr, Heather_Menzies-Urich, Nicholas_Hammond, Duane_Chase, Angela_Cartwright, Debbie_Turner, Kym_Karath, Anna_Lee, Portia_Nelson, Ben_Wright, Daniel_Truhitte, Norma_Varden"
The Sting,17,"Paul_Newman, Robert_Redford, Robert_Shaw, Charles_Durning, Ray_Walston, Eileen_Brennan, Harold_Gould, Dana_Elcar, Jack_Kehoe, Dimitra_Arliss, Robert_Earl_Jones, James_Sloyan, Charles_Dierkop, Lee_Paul, Sally_Kirkland, Avon_Long, Arch_Johnson"
The Terminator,14,"Arnold_Schwarzenegger, Linda_Hamilton, Michael_Biehn, Paul_Winfield, Lance_Henriksen, Rick_Rossovich, Bess_Motta, Earl_Boen, Dick_Miller, Shawn_Schepps, Franco_Columbu, Bill_Paxton, Brad_Rearden, Brian_Thompson"
The Thing,16,"Kurt_Russell, Wilford_Brimley, Keith_David, T.K._Carter, David_Clennon, Richard_Dysart, Charles_Hallahan, Peter_Maloney, Richard_Masur, Donald_Moffat, Joel_Polis, Thomas_G._Waites, Norbert_Weisser, Larry_Franco, Adrienne_Barbeau, John_Carpenter"
The Third Man,14,"Orson_Welles, Joseph_Cotten, Alida_Valli, Trevor_Howard, Paul_Hörbiger, Ernst_Deutsch, Erich_Ponto, Siegfried_Breuer, Hedwig_Bleibtreu, Bernard_Lee, Wilfrid_Hyde-White, Harold_Ayer, Paul_Birch, Martin_Boddey"
The Treasure of the Sierra Madre,15,"Humphrey_Bogart, Walter_Huston, Tim_Holt, Bruce_Bennett, Barton_MacLane, Alfonso_Bedoya, Arturo_Soto_Rangel, Manuel_Dondé, José_Torvay, Robert_Blake, Roberto_Cañedo, Spencer_Chan, Jacqueline_Dalya, Ralph_Dunn, Pat_Flaherty"
The Truman Show,11,"Jim_Carrey, Ed_Harris, Laura_Linney, Noah_Emmerich, Natascha_McElhone, Holland_Taylor, Brian_Delate, Peter_Krause, Heidi_Schanz, Ted_Raymond, Judy_Clayton"
The Usual Suspects,15,"Kevin_Spacey, Gabriel_Byrne, Chazz_Palminteri, Stephen_Baldwin, Benicio_Del_Toro, Kevin_Pollak, Pete_Postlethwaite, Suzy_Amis, Giancarlo_Esposito, Dan_Hedaya, Paul_Bartel, Carl_Bressler, Jack_Shearer, Christine_Estabrook, Clark_Gregg"
The Wages of Fear,9,"Yves_Montand, Charles_Vanel, Peter_van_Eyck, Folco_Lulli, Véra_Clouzot, Darío_Moreno, Antonio_Centa, Luis_De_Lima, Darling_Légitimus"
The Wild Robot,18,"Lupita_Nyong'o, Pedro_Pascal, Kit_Connor, Bill_Nighy, Stephanie_Hsu, Matt_Berry, Ving_Rhames, Mark_Hamill, Catherine_O'Hara, Boone_Storm, Alexandra_Novelle, Raphael_Alejandro, Paul-Mikél_Williams, Eddie_Park, Dee_Bradley_Baker, Randy_Thom, Avrielle_Corti, Keston_John"
The Wizard of Oz,12,"Judy_Garland, Frank_Morgan, Ray_Bolger, Bert_Lahr, Jack_Haley, Billie_Burke, Margaret_Hamilton, Charley_Grapewin, Pat_Walshe, Clara_Blandick, Terry, The_Singer_Midgets"
The Wolf of Wall Street,18,"Leonardo_DiCaprio, Jonah_Hill, Margot_Robbie, Matthew_McConaughey, Kyle_Chandler, Rob_Reiner, Jon_Bernthal, Jon_Favreau, Jean_Dujardin, Joanna_Lumley, Cristin_Milioti, Christine_Ebersole, Shea_Whigham, Katarina_Cas, P.J._Byrne, Kenneth_Choi, Brian_Sacca, Henry_Zebrowski"
There Will Be Blood,10,"Daniel_Day-Lewis, Paul_Dano, Ciarán_Hinds, Paul_F._Tompkins, Dillon_Freasier, Kevin_Breznahan, Jim_Meskimen, Erica_Sullivan, Randall_Carver, Coco_Leigh"
"Three Billboards Outside Ebbing, Missouri",16,"Frances_McDormand, Woody_Harrelson, Sam_Rockwell, Caleb_Landry_Jones, Kerry_Condon, Alejandro_Barrios, Clarke_Peters, Darrell_Britt-Gibson, Abbie_Cornish, Lucas_Hedges, Zeljko_Ivanek, Amanda_Warren, Malaya_Rivera_Drew, Sandy_Martin, Peter_Dinklage, Christopher_Berry"
To Be or Not to Be,16,"Carole_Lombard, Jack_Benny, Robert_Stack, Felix_Bressart, Lionel_Atwill, Stanley_Ridges, Sig_Ruman, Tom_Dugan, Charles_Halton, George_Lynn, Henry_Victor, Maude_Eburne, Halliwell_Hobbes, Miles_Mander, Rudolph_Anders, Sven_Hugo_Borg"
To Kill a Mockingbird,17,"Gregory_Peck, John_Megna, Frank_Overton, Rosemary_Murphy, Ruth_White, Brock_Peters, Estelle_Evans, Paul_Fix, Collin_Wilcox_Paxton, James_Anderson, Alice_Ghostley, Robert_Duvall, William_Windom, Crahan_Denton, Richard_Hale, Mary_Badham, Phillip_Alford"
Tokyo Story,13,"Chishû_Ryû, Chieko_Higashiyama, Sô_Yamamura, Setsuko_Hara, Haruko_Sugimura, Kuniko_Miyake, Kyôko_Kagawa, Eijirô_Tôno, Nobuo_Nakamura, Hisao_Toake, Teruko_Nagaoka, Toyo_Takahashi, Tôru_Abe"
Top Gun Maverick,18,"Tom_Cruise, Jennifer_Connelly, Miles_Teller, Val_Kilmer, Bashir_Salahuddin, Jon_Hamm, Charles_Parnell, Monica_Barbaro, Lewis_Pullman, Jay_Ellis, Danny_Ramirez, Glen_Powell, Jack_Schumacher, Manny_Jacinto, Kara_Wang, Greg_Tarzan_Davis, Jake_Picking, Raymond_Lee"
Toy Story,15,"Tom_Hanks, Tim_Allen, Don_Rickles, Jim_Varney, Wallace_Shawn, John_Ratzenberger, Annie_Potts, John_Morris, Erik_von_Detten, Laurie_Metcalf, R._Lee_Ermey, Penn_Jillette, Jack_Angel, Spencer_Aste, Greg_Berg"
Toy Story 3,17,"Tom_Hanks, Tim_Allen, Joan_Cusack, Ned_Beatty, Don_Rickles, Michael_Keaton, Wallace_Shawn, John_Ratzenberger, Estelle_Harris, John_Morris, Jodi_Benson, Emily_Ricks_Hahn, Laurie_Metcalf, Blake_Clark, Theodore_Newton, Bud_Luckey, Bea_Miller"
Trainspotting,18,"Ewan_McGregor, Ewen_Bremner, Jonny_Lee_Miller, Kevin_McKidd, Robert_Carlyle, Kelly_Macdonald, Peter_Mullan, James_Cosmo, Eileen_Nicholas, Susan_Vidler, Pauline_Lynch, Shirley_Henderson, Stuart_McQuarrie, Irvine_Welsh, Dale_Winton, Keith_Allen, Kevin_Allen, Annie_Louise_Ross"
Unforgiven,15,"Clint_Eastwood, Gene_Hackman, Morgan_Freeman, Richard_Harris, Jaimz_Woolvett, Saul_Rubinek, Frances_Fisher, Anna_Thomson, David_Mucci, Rob_Campbell, Anthony_James, Beverley_Elliott, Liisa_Repo-Martell, Shane_Thomas_Meier, Cherrilene_Cardinal"
Up,14,"Edward_Asner, Jordan_Nagai, John_Ratzenberger, Christopher_Plummer, Bob_Peterson, Delroy_Lindo, David_Kaye, Danny_Mann, Donald_Fullilove, Jess_Harnell, Josh_Cooley, Pete_Docter, Mark_Andrews, Bob_Bergen"
V for Vendetta,17,"Hugo_Weaving, Natalie_Portman, Rupert_Graves, Stephen_Rea, Stephen_Fry, John_Hurt, Tim_Pigott-Smith, Roger_Allam, Ben_Miles, Sinéad_Cusack, Natasha_Wightman, John_Standing, Eddie_Marsan, Clive_Ashborn, Ian_Burfield, Mark_Phoenix, Alister_Mazzotti"
Vertigo,11,"James_Stewart, Kim_Novak, Barbara_Bel_Geddes, Tom_Helmore, Henry_Jones, Raymond_Bailey, Ellen_Corby, Konstantin_Shayne, Lee_Patrick, John_Benson, Paul_Bryar"
WALL·E,11,"Ben_Burtt, Elissa_Knight, Jeff_Garlin, Fred_Willard, John_Ratzenberger, Kathy_Najimy, Sigourney_Weaver, Karleen_Griffin, Kim_Kopf, Garrett_Palmer, Lori_Richardson"
Warrior,17,"Tom_Hardy, Nick_Nolte, Joel_Edgerton, Jennifer_Morrison, Frank_Grillo, Kevin_Dunn, Maximiliano_Hernández, Bryan_Callen, Sam_Sheridan, Fernando_Chien, Jake_McLaughlin, Vanessa_Martinez, Denzel_Whitaker, Carlos_Miranda, Nick_Lehane, Laura_Chinn, Lexi_Cowan"
Whiplash,16,"Miles_Teller, J.K._Simmons, Melissa_Benoist, Paul_Reiser, Austin_Stowell, Nate_Lang, Chris_Mulkey, Damon_Gupton, Suanne_Spoke, Max_Kasch, Jayson_Blair, Kofi_Siriboe, Kavita_Patil, C.J._Vana, Tarik_Lowe, Rogelio_Douglas_Jr."
Wild Strawberries,17,"Victor_Sjöström, Bibi_Andersson, Ingrid_Thulin, Gunnar_Björnstrand, Jullan_Kindahl, Folke_Sundquist, Naima_Wifstrand, Gunnel_Broström, Gertrud_Fridh, Sif_Ruud, Gunnar_Sjöberg, Max_von_Sydow, Åke_Fridell, Yngve_Nordwall, Per_Sjöstrand, Gio_Petré, Gunnel_Lindblom"
Wild Tales,7,"Darío_Grandinetti, María_Marull, Mónica_Villa, Javier_Pedersoli, Rita_Cortese, Julieta_Zylberberg, Leonardo_Sbaraglia"
Witness for the Prosecution,14,"Tyrone_Power, Marlene_Dietrich, Charles_Laughton, Elsa_Lanchester, John_Williams, Henry_Daniell, Ian_Wolfe, Torin_Thatcher, Norma_Varden, Una_O'Connor, Francis_Compton, Philip_Tonge, Ruta_Lee, Eddie_Baker"
Yojimbo,15,"Toshirô_Mifune, Eijirô_Tôno, Tatsuya_Nakadai, Yôko_Tsukasa, Isuzu_Yamada, Daisuke_Katô, Seizaburô_Kawazu, Takashi_Shimura, Yôsuke_Natsuki, Kamatari_Fujiwara, Ikio_Sawamura, Susumu_Fujita, Kyû_Sazanka, Kô_Nishimura, Takeshi_Katô"
Your Name,7,"Ryûnosuke_Kamiki, Mone_Kamishiraishi, Ryo_Narita, Aoi_Yûki, Nobunaga_Shimazaki, Kazuhiko_Inoue, Kana_Hanazawa"
